127.0.0.1 - - [22/Apr/2020:10:40:49 +0800] "GET / HTTP/1.1" 404 675
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:40:57 +0800] "GET /atcrowdfunding02-admin-webui/menu/get/page.html HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [22/Apr/2020:10:40:57 +0800] "GET /favicon.ico HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:03:15 +0800] "GET /atcrowdfunding02-admin-webui/menu/get/page.html HTTP/1.1" 404 653
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:03:22 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:32:25 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:32:26 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:32:45 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/login/page.html HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/Apr/2020:12:33:05 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
